t_index	term	df
3500	deput	5
3501	deputi	326
3502	deputis	1
3503	dergr	1
3504	deriv	58
3505	derjava	2
3506	dermatolog	2
3507	dermatologist	1
3508	derog	1
3509	desc	8
3510	descend	5
3511	descent	1
3512	desciplin	1
3513	describ	195
3514	descript	344
3515	dese	1
3516	design	5076
3517	designe	10
3518	desin	1
3519	desir	2729
3520	desirebil	1
3521	desirebl	3
3522	desisr	1
3523	desk	264
3524	desktop	131
3525	deskwork	3
3526	desper	1
3527	despit	7
3528	dessert	4
3529	destin	64
3530	destroy	1
3531	destruct	8
3532	destructor	2
3533	det	1
3534	detach	2
3535	detail	2470
3536	detaine	2
3537	detect	182
3538	detector	4
3539	detent	8
3540	deter	2
3541	deterior	4
3542	determin	792
3543	determined	2
3544	determinist	2
3545	deterr	6
3546	detriment	1
3547	deutsch	1
3548	deutschland	1
3549	dev	11
3550	develo	1
3551	develop	10636
3552	developer	1
3553	developm	1
3554	development	24
3555	developmnet	1
3556	devexpress	2
3557	devianc	1
3558	deviat	57
3559	devic	289
3560	devicenet	1
3561	devis	65
3562	devolv	8
3563	devop	5
3564	devot	111
3565	dewat	1
3566	dex	1
3567	dexter	2
3568	df	1
3569	dfcta	2
3570	dfi	3
3571	dfid	6
3572	dfm	4
3573	dfo	1
3574	dft	4
3575	dgii	1
3576	dgmc	5
3577	dhcp	68
3578	dhl	7
3579	dhr	1
3580	dhtml	183
3581	di	2
3582	diabet	1
3583	diacon	2
3584	diagnos	121
3585	diagnosi	52
3586	diagnost	98
3587	diagnostician	1
3588	diagram	121
3589	dial	7
3590	dialect	17
3591	dialer	1
3592	dialog	22
3593	dialogu	104
3594	dialup	2
3595	dialux	3
3596	diamet	1
3597	diamond	4
3598	diari	44
3599	diaspora	33
3600	diasporan	2
3601	dictaphon	2
3602	dictat	7
3603	dictionari	18
3604	didact	2
3605	die	3
3606	diem	7
3607	diesel	17
3608	diet	2
3609	dietari	1
3610	dietitian	1
3611	diffeent	1
3612	differ	1704
3613	differenti	46
3614	differr	2
3615	diffi	4
3616	difficult	78
3617	difficulti	46
3618	diffus	6
3619	difid	2
3620	dig	5
3621	digest	24
3622	digg	1
3623	digit	228
3624	dignitari	4
3625	digniti	7
3626	digre	1
3627	dilemma	2
3628	dilig	229
3629	dilijan	24
3630	dilut	1
3631	dim	2
3632	dimens	44
3633	dimension	22
3634	diminish	1
3635	dine	8
3636	diner	2
3637	dinner	9
3638	dip	22
3639	dipecho	1
3640	diploma	377
3641	diplomaci	204
3642	diplomat	151
3643	diptesol	1
3644	direct	2530
3645	directli	541
3646	director	1727
3647	directori	197
3648	directshow	2
3649	directx	5
3650	dirti	3
3651	disabl	83
3652	disadvant	1
3653	disadvantag	12
3654	disaggreg	11
3655	disagr	1
3656	disallow	1
3657	disapprov	1
3658	disarrang	1
3659	disassembl	2
3660	disast	140
3661	disburs	311
3662	disc	6
3663	discard	1
3664	discern	8
3665	discharg	13
3666	disciplin	1304
3667	disciplinari	104
3668	disclaim	1
3669	disclos	25
3670	disclosur	33
3671	disconnect	5
3672	discothequ	2
3673	discount	57
3674	discourag	8
3675	discours	7
3676	discov	75
3677	discover	1
3678	discoveri	10
3679	discreet	16
3680	discreetli	5
3681	discrep	69
3682	discret	219
3683	discretionari	8
3684	discrimin	8
3685	discriminatori	21
3686	discuss	789
3687	diseas	66
3688	dish	23
3689	dishonor	1
3690	dishwar	1
3691	dishwash	1
3692	disign	1
3693	disinfect	1
3694	disk	23
3695	diskett	1
3696	diskspac	1
3697	dismantl	3
3698	dismiss	16
3699	disord	10
3700	dispatch	53
3701	dispens	17
3702	dispensari	9
3703	dispers	5
3704	dispetch	1
3705	displac	11
3706	display	210
3707	dispos	64
3708	disposit	46
3709	disput	44
3710	disrepair	2
3711	disrupt	16
3712	dissatisfact	2
3713	dissatisfi	7
3714	dissect	1
3715	dissemin	305
3716	dissolut	2
3717	dissolv	1
3718	distanc	45
3719	distant	2
3720	distibutor	1
3721	distil	5
3722	distinct	49
3723	distinctli	3
3724	distinguish	26
3725	distract	1
3726	distribut	1013
3727	distributor	95
3728	district	55
3729	distrimex	2
3730	distro	8
3731	disturb	9
3732	dive	3
3733	diverg	1
3734	divers	464
3735	diversif	7
3736	diversifi	28
3737	divert	3
3738	divid	22
3739	dividend	2
3740	divis	637
3741	division	6
3742	divisionth	1
3743	django	5
3744	djur	9
3745	dkpto	1
3746	dll	2
3747	dlp	1
3748	dlt	1
3749	dm	6
3750	dmc	2
3751	dme	38
3752	dmf	1
3753	dmi	1
3754	dml	1
3755	dmm	6
3756	dmt	5
3757	dmz	2
3758	dn	120
3759	dna	3
3760	dnc	6
3761	dnp	1
3762	dnrgp	1
3763	dnss	3
3764	doc	19
3765	docent	2
3766	dock	5
3767	docker	2
3768	docket	2
3769	doctor	335
3770	doctrin	3
3771	docucolor	2
3772	documantari	1
3773	document	5544
3774	documentari	24
3775	documentum	9
3776	doe	40
3777	doer	6
3778	doesnt	1
3779	dog	2
3780	doi	1
3781	dojo	8
3782	doka	2
3783	dollar	7
3784	dolli	1
3785	dom	48
3786	domain	267
3787	domest	180
3788	domin	19
3789	domino	19
3790	domu	1
3791	donat	12
3792	done	272
3793	donor	953
3794	donorperfect	1
3795	door	35
3796	doorman	5
3797	dorado	2
3798	dorozhnik	8
3799	dosag	2
3800	dossier	17
3801	dot	20
3802	dotcom	1
3803	dotnet	1
3804	dotnetnuk	2
3805	doubl	21
3806	doubleclick	29
3807	doublequad	1
3808	doubt	1
3809	dovecot	1
3810	download	9
3811	downscal	4
3812	downstream	3
3813	downtim	16
3814	downtown	4
3815	dozen	2
3816	dp	4
3817	dpc	6
3818	dpca	2
3819	dpd	2
3820	dpisc	1
3821	dpk	7
3822	dpm	7
3823	dpmk	7
3824	dpo	8
3825	dra	2
3826	draft	1340
3827	drafter	4
3828	draftsman	1
3829	drain	1
3830	drainag	13
3831	dram	10
3832	drama	8
3833	dramat	4
3834	drastic	9
3835	draw	649
3836	drawback	5
3837	drawer	28
3838	drawn	5
3839	drc	35
3840	dream	3
3841	dreamview	2
3842	dreamwav	1
3843	dreamweav	59
3844	dreawmweav	1
3845	dress	9
3846	dri	13
3847	dribbl	3
3848	drill	13
3849	drink	30
3850	drinkabl	1
3851	drive	1219
3852	driven	445
3853	driver	451
3854	drm	3
3855	drop	24
3856	dropbox	1
3857	dropdown	1
3858	drought	2
3859	drown	1
3860	drph	1
3861	drr	54
3862	drrm	1
3863	drtb	2
3864	drug	204
3865	drugstor	29
3866	drum	1
3867	drupal	33
3868	drush	1
3869	drweb	2
3870	dryer	1
3871	dsa	2
3872	dsd	1
3873	dsegh	2
3874	dsif	1
3875	dsl	6
3876	dslogist	1
3877	dsp	7
3878	dsro	1
3879	dss	5
3880	dst	2
3881	dt	12
3882	dtc	4
3883	dtd	4
3884	dtf	1
3885	dtl	2
3886	dtp	2
3887	dtra	1
3888	du	1
3889	dual	3
3890	dub	1
3891	dubai	2
3892	dublin	2
3893	duc	2
3894	ducat	1
3895	duct	4
3896	due	306
3897	dufri	3
3898	duli	87
3899	dummi	1
3900	dump	41
3901	dunda	2
3902	dunde	5
3903	duplek	1
3904	duplic	31
3905	durabl	5
3906	durat	87
3907	dure	1202
3908	dust	4
3909	dustpan	1
3910	dutch	20
3911	duti	3046
3912	dvb	1
3913	dvd	7
3914	dwc	1
3915	dwdm	4
3916	dweller	3
3917	dwg	2
3918	dwh	5
3919	dxf	1
3920	dyamic	1
3921	dyammic	1
3922	dynam	818
3923	dynamo	1
3924	dysfunct	11
3925	dzor	15
3926	dzoraget	3
3927	e	1555
3928	ea	1
3929	eac	1
3930	eaeu	3
3931	eager	227
3932	eagerli	1
3933	eagma	2
3934	eai	4
3935	eao	3
3936	eapct	1
3937	ear	2
3938	earf	4
3939	earli	117
3940	earlier	8
3941	earliest	6
3942	earn	18
3943	earth	6
3944	earthmov	2
3945	earthquak	2
3946	earthwork	1
3947	eas	38
3948	easement	1
3949	easi	64
3950	easier	4
3951	easili	67
3952	east	64
3953	easter	1
3954	eastern	63
3955	easygo	7
3956	eat	1
3957	eatb	1
3958	eaug	1
3959	ebay	1
3960	ebd	1
3961	ebert	1
3962	ebgp	1
3963	ebi	2
3964	ebitda	2
3965	eblast	1
3966	ebook	1
3967	ebp	1
3968	ebrd	55
3969	ebtax	1
3970	ec	1
3971	eca	17
3972	ecaa	1
3973	ecac	1
3974	ecad	1
3975	ecafm	1
3976	ecc	1
3977	eccd	1
3978	ecd	6
3979	ecdl	1
3980	ece	10
3981	ecfin	1
3982	ecg	2
3983	echmiadzin	7
3984	echmiadzni	1
3985	echo	1
3986	echr	2
3987	eciia	4
3988	eclips	104
3989	eclipselink	15
3990	eclof	1
3991	ecma	1
3992	ecmascript	1
3993	ecnom	1
3994	eco	9
3995	ecoclub	1
3996	ecolog	41
3997	ecologist	1
3998	ecommerc	23
3999	econom	3664
4000	econometr	58
4001	economi	343
4002	economist	87
4003	ecosens	2
4004	ecospan	1
4005	ecosystem	34
4006	ecotour	2
4007	ecoventur	1
4008	ecrc	1
4009	ecsp	1
4010	ecssd	1
4011	ect	4
4012	ectd	2
4013	ectostar	4
4014	ecultur	1
4015	eda	172
4016	edcr	1
4017	edelweiss	2
4018	edg	86
4019	edgar	1
4020	edger	1
4021	edgewar	1
4022	edi	2
4023	edic	1
4024	edif	14
4025	edit	600
4026	editor	132
4027	editori	59
4028	ediu	2
4029	edlh	1
4030	edm	7
4031	edmc	33
4032	edo	1
4033	edp	4
4034	edu	1
4035	eduact	1
4036	eduat	1
4037	educ	5735
4038	educatin	1
4039	educationusa	5
4040	educaton	1
4041	educt	3
4042	eec	2
4043	eeca	4
4044	eeduc	1
4045	eeprom	2
4046	eeu	1
4047	eexcel	2
4048	ef	3
4049	effeci	5
4050	effect	4116
4051	effectu	6
4052	efficaci	11
4053	effici	2078
4054	effort	544
4055	efl	3
4056	efm	5
4057	eft	1
4058	eg	4
4059	egar	1
4060	egg	1
4061	eghbayrn	2
4062	egin	2
4063	egion	1
4064	egmont	4
4065	ego	1
4066	egovern	1
4067	egress	1
4068	egul	1
4069	egular	1
4070	eh	2
4071	ei	1
4072	eia	15
4073	eiaa	1
4074	eic	2
4075	eif	11
4076	eight	13
4077	eighti	2
4078	eigrp	6
4079	eim	1
4080	einstein	1
4081	eip	1
4082	eir	1
4083	eirp	1
4084	either	153
4085	eiti	1
4086	eiu	2
4087	ejb	71
4088	ejp	2
4089	ekeng	12
4090	el	3
4091	ela	1
4092	elabor	447
4093	elangh	1
4094	elanjh	2
4095	elast	2
4096	elasticsearch	4
4097	elastix	2
4098	elat	1
4099	elatix	2
4100	elbat	1
4101	elctron	1
4102	elderli	3
4103	eldex	2
4104	elearn	1
4105	elect	51
4106	elector	23
4107	electr	317
4108	electrician	22
4109	electro	24
4110	electromagnet	2
4111	electromechan	37
4112	electron	801
4113	electrotechn	1
4114	eleg	56
4115	elegantli	3
4116	element	215
4117	elementari	14
4118	elev	13
4119	eleven	2
4120	elicit	44
4121	elig	90
4122	elimin	119
4123	elisa	1
4124	elit	4
4125	elita	2
4126	ell	1
4127	elmarket	5
4128	eloqu	2
4129	eloqua	3
4130	els	2
4131	elsewher	70
4132	elsoft	2
4133	elt	1
4134	elub	1
4135	elucid	9
4136	em	7
4137	ema	3
4138	email	425
4139	emarket	3
4140	emb	18
4141	embank	1
4142	embarcadero	1
4143	embass	1
4144	embassi	117
4145	embed	103
4146	embedit	1
4147	ember	1
4148	emberj	2
4149	embezzl	1
4150	embodi	2
4151	emboss	3
4152	embrac	15
4153	emc	6
4154	emcdda	1
4155	emdc	2
4156	eme	1
4157	emea	4
4158	emena	1
4159	emep	1
4160	emerg	405
4161	emerson	1
4162	emg	16
4163	emid	2
4164	emiss	11
4165	emmp	3
4166	emot	19
4167	emp	18
4168	empath	3
4169	empathet	4
4170	empathi	7
4171	emphas	51
4172	emphasi	230
4173	emphat	1
4174	empir	9
4175	employ	564
4176	employe	1138
4177	employmnt	1
4178	empow	32
4179	empower	72
4180	empt	1
4181	empti	7
4182	emul	3
4183	emv	1
4184	en	6
4185	ena	3
4186	enabl	203
4187	enact	6
4188	encapsul	1
4189	encash	7
4190	enclos	3
4191	encod	10
4192	encompass	33
4193	encount	39
4194	encourag	298
4195	encript	1
4196	encroach	1
4197	encrypt	16
4198	encumbr	11
4199	end	640
4200	endang	18
4201	endarterectomi	1
4202	endeavor	7
4203	endeavour	1
4204	endless	3
4205	endnot	1
4206	endocrinolog	1
4207	endocrinologist	1
4208	endors	26
4209	endow	3
4210	endpoint	9
4211	endur	1
4212	eneget	3
4213	energ	148
4214	energet	642
4215	energi	281
4216	energocancshin	2
4217	energyenvest	1
4218	energyinvest	3
4219	enerpac	1
4220	enforc	241
4221	eng	4
4222	engag	741
4223	engaged	1
4224	engen	3
4225	engend	5
4226	engin	2881
4227	england	10
4228	english	14975
4229	englisharmenian	1
4230	engrav	1
4231	enhanc	797
4232	enjoy	83
4233	enlarg	23
4234	enlighten	1
4235	enlist	7
4236	enough	25
4237	enp	14
4238	enpap	1
4239	enpard	13
4240	enpi	7
4241	enquir	5
4242	enquiri	135
4243	enrich	14
4244	enrol	65
4245	enrti	1
4246	ensim	1
4247	ensu	3
4248	ensur	5328
4249	entail	98
4250	entanekan	1
4251	entartain	1
4252	enter	260
4253	enterpris	654
4254	entertain	49
4255	enthusiasm	115
4256	enthusiast	358
4257	entir	172
4258	entireti	1
4259	entiti	410
4260	entitl	35
4261	entityframework	1
4262	entomolog	1
4263	entr	1
4264	entranc	15
4265	entrant	7
4266	entrepreneur	36
4267	entrepreneuri	69
4268	entrepreneurship	43
4269	entri	520
4270	entrust	29
4271	enumer	3
4272	envelop	11
4273	enviro	1
4274	environ	3285
4275	environment	303
4276	environmnet	1
4277	envis	15
4278	envisag	76
4279	envoy	1
4280	envsec	2
4281	eoi	3
4282	epa	3
4283	epam	88
4284	epay	3
4285	epc	1
4286	epd	5
4287	eperi	1
4288	epf	14
4289	epg	1
4290	epi	9
4291	epicentr	3
4292	epidata	1
4293	epidem	4
4294	epidemiolog	9
4295	epidemiologist	1
4296	epiinfo	9
4297	episod	1
4298	epizootolog	2
4299	epp	1
4300	epr	3
4301	eprocur	2
4302	epson	3
4303	epygi	10
4304	epygiarm	10
4305	equal	132
4306	equallog	2
4307	equat	4
4308	equilibrium	10
4309	equilibrum	1
4310	equip	1494
4311	equipm	1
4312	equipt	3
4313	equit	19
4314	equiti	169
4315	equival	998
4316	equivavelt	1
4317	erad	1
4318	eran	1
4319	erbd	1
4320	erc	3
4321	erd	1
4322	erdm	1
4323	erebouni	2
4324	erebuni	3
4325	erect	1
4326	ereo	1
4327	erevan	1
4328	ergonom	5
4329	erickson	6
4330	ericson	1
4331	ericsson	4
4332	erivan	2
4333	erlang	2
4334	erlrthp	1
4335	erm	3
4336	ernst	18
4337	eros	7
4338	erp	54
4339	err	2
4340	errand	12
4341	erron	10
4342	error	139
4343	errorless	2
4344	ert	9
4345	erudit	1
4346	erwin	6
4347	esa	12
4348	esap	1
4349	esb	10
4350	escada	1
4351	escal	84
4352	escap	1
4353	esco	5
4354	escorena	1
4355	escort	34
4356	escript	1
4357	escrow	10
4358	esculap	6
4359	esd	3
4360	esdf	3
4361	esi	2
4362	esia	1
4363	esio	2
4364	esl	2
4365	esm	1
4366	esmf	3
4367	eso	4
4368	esoft	1
4369	esol	1
4370	esop	1
4371	esp	10
4372	especi	467
4373	espo	2
4374	espoo	3
4375	espresso	2
4376	esprit	2
4377	esri	1
4378	essay	9
4379	essenc	33
4380	essenti	341
4381	est	3
4382	establish	2329
4383	estat	90
4384	esthet	1
4385	estim	540
4386	estonia	1
4387	estor	1
4388	esw	2
4389	esx	14
4390	esxi	17
4391	et	7
4392	eta	2
4393	etc	3017
4394	etch	1
4395	etchmiadzin	4
4396	eterna	2
4397	ethernet	19
4398	ethic	708
4399	ethicon	1
4400	ethnic	35
4401	ethnographi	1
4402	etho	14
4403	ethyc	1
4404	etiquett	62
4405	etl	39
4406	etsi	1
4407	ett	1
4408	ettl	1
4409	eu	2
4410	euag	10
4411	euam	1
4412	eufoa	6
4413	eufund	1
4414	eunp	4
4415	eurasec	1
4416	eurasia	58
4417	eurasian	25
4418	eurecna	1
4419	eurep	1
4420	euro	7
4421	eurodrug	1
4422	euroluc	2
4423	euromotor	4
4424	europ	184
4425	europa	3
4426	europcar	1
4427	europeaid	3
4428	european	315
4429	europeandci	1
4430	europro	2
4431	euroset	9
4432	euroterm	1
4433	ev	1
4434	eva	2
4435	evacu	12
4436	evalu	2267
4437	evalut	1
4438	evangel	3
4439	evangelist	5
4440	evant	1
4441	evapor	4
4442	evas	1
4443	evelop	1
4444	even	117
4445	evenli	4
4446	event	1310
4447	eventu	15
4448	ever	21
4449	evergreen	1
4450	everi	176
4451	everleaf	1
4452	everybodi	2
4453	everyday	113
4454	everyon	18
4455	everyth	34
4456	evict	5
4457	evid	132
4458	evidenc	6
4459	evidentiari	7
4460	eview	12
4461	evn	1
4462	evolu	1
4463	evolut	29
4464	evolv	45
4465	ew	1
4466	ewsd	1
4467	ex	9
4468	exact	38
4469	exactli	12
4470	exadata	1
4471	exam	59
4472	examin	348
4473	examine	2
4474	exampl	151
4475	exb	15
4476	excav	8
4477	exce	6
4478	exceed	111
4479	exceedingli	1
4480	excel	10601
4481	excellenct	1
4482	excellet	1
4483	except	264
4484	excerpt	5
4485	excess	15
4486	exchang	494
4487	excit	42
4488	exclud	34
4489	exclus	31
4490	excperi	1
4491	excurs	5
4492	excursionist	1
4493	exec	3
4494	execel	4
4495	execut	2103
4496	executeswel	2
4497	executor	1
4498	executori	2
4499	exel	9
4500	exemplari	9
4501	exempt	24
4502	exercis	227
4503	exert	4
4504	exhaust	30
4505	exhibit	161
4506	exhibitor	1
4507	exibit	1
4508	exig	6
4509	exim	2
4510	exin	1
4511	exist	2030
4512	exit	53
4513	exoner	1
4514	exp	4
4515	expand	283
4516	expans	130
4517	expansionari	8
4518	expat	16
4519	expati	1
4520	expatri	54
4521	expeci	1
4522	expect	576
4523	expedi	24
4524	expedit	43
4525	expediti	3
4526	expeditor	2
4527	expend	18
4528	expenditur	389
4529	expens	458
4530	exper	3
4531	experei	1
4532	expereinc	3
4533	experi	16220
4534	experic	3
4535	experiecn	1
4536	experienc	1215
4537	experiencewith	1
4538	experienti	10
4539	experiment	13
4540	experinc	5
4541	experinec	3
4542	expert	1323
4543	expertis	701
4544	expess	1
4545	expier	4
4546	expir	30
4547	expiri	10
4548	explain	140
4549	explan	45
4550	explanatori	8
4551	explicit	6
4552	explicitli	1
4553	exploit	90
4554	explor	254
4555	exploratori	10
4556	expo	8
4557	export	204
4558	expos	13
4559	exposit	9
4560	expositori	1
4561	exposur	202
4562	express	380
4563	expressionengin	1
4564	exprienc	4
4565	ext	6
4566	extend	171
4567	extens	794
4568	extent	45
4569	exterior	31
4570	extern	1561
4571	externship	1
4572	extgwt	14
4573	extinguish	2
4574	extj	20
4575	extra	95
4576	extract	81
4577	extracurricular	2
4578	extrajudici	4
4579	extranet	5
4580	extraordinari	7
4581	extrapol	1
4582	extravag	2
4583	extrem	152
4584	exud	2
4585	exyzett	3
4586	ey	2
4587	eye	57
4588	eyecar	10
4589	eyesight	2
4590	eyesoft	4
4591	f	115
4592	fa	11
4593	faa	9
4594	faad	2
4595	fab	2
4596	fabric	40
4597	facad	3
4598	face	313
4599	facebook	87
4600	facelet	25
4601	facet	30
4602	facil	445
4603	facilit	1060
4604	facilityengineerpd	1
4605	facilti	1
4606	facsimil	9
4607	fact	121
4608	faction	1
4609	factor	163
4610	factori	32
4611	factsheet	3
4612	factual	13
4613	factum	1
4614	faculti	84
4615	fadf	11
4616	fae	2
4617	fafa	1
4618	fail	36
4619	failov	4
4620	failur	74
4621	faimer	1
4622	fair	251
4623	fairi	2
4624	fairli	31
4625	fairwild	1
4626	faith	7
4627	fake	4
4628	fall	20
4629	fals	2
4630	falsif	2
4631	falter	1
4632	fam	6
4633	famili	279
4634	familiar	1566
4635	famou	2
4636	fan	9
4637	fanat	1
4638	fanboy	1
4639	fangirl	1
4640	fantasi	2
4641	fao	31
4642	faor	3
4643	fap	3
4644	faq	16
4645	far	31
4646	faraway	4
4647	fare	4
4648	farewel	2
4649	farm	94
4650	farmacist	1
4651	farmer	128
4652	farmmod	1
4653	farsi	20
4654	fascel	1
4655	fashion	116
4656	fast	1036
4657	fasten	1
4658	faster	1
4659	fastest	1
4660	fastfood	6
4661	fastidi	2
4662	fastli	2
4663	fastreport	1
4664	fat	1
4665	fatca	1
4666	fatf	14
4667	father	1
4668	fau	8
4669	faucet	1
4670	fault	125
4671	faulti	15
4672	faultless	7
4673	favor	31
4674	favorit	9
4675	favour	9
4676	favourit	2
4677	fax	300
4678	fbo	1
4679	fbur	1
4680	fca	8
4681	fcc	1
4682	fcha	1
4683	fci	1
4684	fco	3
4685	fcsw	1
4686	fd	1
4687	fda	19
4688	fdalab	1
4689	fdd	3
4690	fdi	3
4691	fe	1
4692	fea	6
4693	feasibl	217
4694	featur	644
4695	featurecam	1
4696	februari	29
4697	fed	15
4698	feder	79
4699	fedora	8
4700	fee	64
4701	feed	39
4702	feedback	515
4703	feeder	15
4704	feel	32
4705	feet	5
4706	fefo	1
4707	feldsher	1
4708	fellow	101
4709	fellowship	21
4710	felt	1
4711	fema	3
4712	femal	18
4713	femin	1
4714	feminist	1
4715	fenc	3
4716	ferti	1
4717	fertil	12
4718	fertilis	1
4719	festa	1
4720	festiv	19
4721	fever	1
4722	fewer	1
4723	ff	1
4724	ffa	3
4725	ffectiv	1
4726	ffinanci	1
4727	ffmpeg	2
4728	ffpmc	2
4729	fgd	3
4730	fgpa	3
4731	fia	1
4732	fiananc	1
4733	fiancial	2
4734	fiber	24
4735	fibr	8
4736	fic	2
4737	fich	2
4738	fiction	2
4739	fictiv	4
4740	fiddler	1
4741	fide	1
4742	fidel	10
4743	fidelio	3
4744	fidic	35
4745	fiduciari	12
4746	field	7137
4747	fieldtrip	1
4748	fieldwork	32
4749	fifa	1
4750	fifo	1
4751	fifteen	3
4752	fifth	2
4753	fig	6
4754	figaro	5
4755	fight	39
4756	figur	41
4757	file	1459
4758	fileadmin	1
4759	fileld	1
4760	filerefer	1
4761	fileserv	1
4762	filesystem	3
4763	filial	2
4764	fill	605
4765	filler	1
4766	film	40
4767	filmmak	2
4768	filter	48
4769	filtrat	1
4770	filuet	2
4771	fim	1
4772	fin	4
4773	fina	1
4774	finaci	1
4775	final	534
4776	finalis	3
4777	finalist	2
4778	financ	3020
4779	financi	3689
4780	financialservic	1
4781	finanti	3
4782	finca	101
4783	finconstruct	2
4784	find	673
4785	fine	67
4786	finer	1
4787	fineread	2
4788	finess	1
4789	finger	3
4790	fingerscan	1
4791	finish	51
4792	finit	4
4793	finland	1
4794	finlex	2
4795	finstat	1
4796	fio	3
4797	fip	1
4798	fire	70
4799	firearm	2
4800	firefight	2
4801	firefox	12
4802	firemen	1
4803	firewal	98
4804	firewood	1
4805	firework	10
4806	firm	205
4807	firmplac	33
4808	firmwar	12
4809	first	306
4810	firsthand	13
4811	firstli	1
4812	fiscal	113
4813	fish	9
4814	fisheri	7
4815	fishfarm	1
4816	fisic	1
4817	fit	91
4818	fitter	4
4819	fiu	4
4820	five	251
4821	fix	783
4822	fixtur	5
4823	fl	1
4824	flag	4
4825	flagman	1
4826	flagship	14
4827	flair	21
4828	flash	220
4829	flasher	2
4830	flask	1
4831	flat	6
4832	flatclub	9
4833	flavor	8
4834	flavour	1
4835	flaw	3
4836	flawless	8
4837	flawlessli	1
4838	fledg	2
4839	fleet	31
4840	fleetli	1
4841	fleg	5
4842	flesh	9
4843	flex	31
4844	flexelint	5
4845	flexibil	1
4846	flexibl	2057
4847	flexrio	2
4848	fli	54
4849	flicker	1
4850	flickr	2
4851	flier	4
4852	flight	28
4853	flip	2
4854	flirt	4
4855	float	2
4856	flood	7
4857	floor	57
4858	floorplan	2
4859	flora	9
4860	flotat	4
4861	flour	1
4862	flow	997
4863	flowchart	16
4864	flower	8
4865	flowmet	1
4866	flowork	1
4867	flowsheet	1
4868	flt	2
4869	fluctuat	22
4870	fluenc	1
4871	fluenci	3496
4872	fluent	1126
4873	fluentci	1
4874	fluentli	15
4875	fluid	21
4876	flux	1
4877	flyer	58
4878	flyover	1
4879	flyspray	1
4880	fm	3
4881	fma	9
4882	fmaf	1
4883	fmap	2
4884	fmc	7
4885	fmcg	56
4886	fmd	2
4887	fmi	1
4888	fmmc	1
4889	fn	1
4890	fo	3
4891	foc	2
4892	focal	67
4893	focalpoint	1
4894	focu	651
4895	focus	416
4896	focuss	1
4897	fod	1
4898	fodder	3
4899	foe	1
4900	foi	2
4901	foica	2
4902	foil	1
4903	fold	4
4904	folder	34
4905	folk	1
4906	folktour	1
4907	follo	1
4908	follow	3331
4909	followup	5
4910	follwo	1
4911	folow	1
4912	fom	2
4913	fomr	3
4914	fond	3
4915	fondex	9
4916	font	10
4917	fontain	20
4918	food	355
4919	foodstuff	8
4920	footag	7
4921	footbal	3
4922	footfal	5
4923	footnot	1
4924	footprint	7
4925	footwork	1
4926	fora	12
4927	forag	2
4928	forc	108
4929	ford	8
4930	forecast	642
4931	foreclosur	14
4932	forefront	14
4933	foregn	1
4934	forego	3
4935	foreighn	1
4936	foreign	933
4937	foreman	7
4938	foremen	2
4939	foremost	3
4940	forens	5
4941	forese	9
4942	foreseen	8
4943	forest	47
4944	forestri	37
4945	forex	9
4946	forexclub	1
4947	forfeit	1
4948	forg	8
4949	fork	1
4950	forklift	1
4951	form	718
4952	formal	527
4953	format	544
4954	former	50
4955	formerli	5
4956	formul	400
4957	formula	21
4958	formulari	1
4959	formwork	1
4960	fort	1
4961	forth	43
4962	forthcom	11
4963	forti	1
4964	fortif	1
4965	fortinet	1
4966	fortun	10
4967	forum	89
4968	forward	303
4969	foster	205
4970	fotomast	1
4971	found	70
4972	foundat	376
4973	founder	29
4974	foundri	10
4975	fountain	4
4976	four	104
4977	foursquar	1
4978	fourth	6
4979	fox	3
4980	foxpro	5
4981	fpga	23
4982	fpmi	1
4983	fpo	1
4984	fr	5
4985	fra	1
4986	fraction	7
4987	fragil	2
4988	fragment	3
4989	frame	480
4990	framemak	2
4991	framesp	1
4992	frameword	1
4993	framework	1647
4994	frameworl	1
4995	franc	67
4996	franchis	25
4997	franchise	12
4998	franchisor	1
4999	francisco	2
5000	francophon	1
5001	frank	2
5002	frankfurt	3
5003	fraud	88
5004	fraudul	10
5005	frc	3
5006	frec	2
5007	frech	1
5008	freda	17
5009	free	135
5010	freebbx	1
5011	freebsd	28
5012	freed	2
5013	freedom	23
5014	freehand	7
5015	freehold	2
5016	freelanc	21
5017	freeli	7
5018	freemium	2
5019	freepbx	1
5020	freez	16
5021	freezer	3
5022	freight	94
5023	freigt	1
5024	french	348
5025	frequenc	73
5026	frequent	337
5027	fresh	73
5028	fresno	3
5029	fri	1
5030	frictionless	1
5031	friday	21
5032	fridg	1
5033	friedrich	1
5034	friend	5
5035	friendli	268
5036	fring	1
5037	frisk	1
5038	frismo	3
5039	frm	5
5040	front	361
5041	frontend	49
5042	frontier	13
5043	frontir	3
5044	frontlin	7
5045	frontpag	11
5046	frost	2
5047	frozen	2
5048	frugal	1
5049	fruit	46
5050	frustrat	4
5051	fsa	1
5052	fsac	1
5053	fsck	1
5054	fsd	2
5055	fsdp	11
5056	fsmc	1
5057	fsmo	1
5058	fsn	13
5059	fspec	3
5060	fsrm	2
5061	fssc	4
5062	fsu	1
5063	fsvi	2
5064	fsvsi	2
5065	ftf	4
5066	ftp	41
5067	ftpd	2
5068	ftsa	1
5069	fttb	1
5070	fuel	83
5071	fuell	2
5072	fuer	1
5073	fujitsu	2
